epoch,acc,loss,lr,val_acc,val_loss
0,0.43447015224358976,2.5110652996943545,0.001,0.4902,2.245626432418823
1,0.5687399355877617,1.943213346115825,0.001,0.5492,1.913575166130066
2,0.6356934380032206,1.6668027735370752,0.001,0.5697,1.8839441596984863
3,0.676177536231884,1.4920587942796053,0.001,0.6109,1.6352423164367675
4,0.7124849033816425,1.3520899613698323,0.001,0.608,1.6467790407180787
5,0.7381239935587761,1.2478802129266342,0.001,0.5754,1.7830277765274047
6,0.7620772946859904,1.156760864019778,0.001,0.668,1.4165013189315796
7,0.7789351851851852,1.0901538469557217,0.001,0.6925,1.4912752326965333
8,0.7919434380032206,1.0350439723179152,0.001,0.6865,1.3717244766235352
9,0.8048762077294686,0.9909660133762636,0.001,0.6962,1.3920695537567138
10,0.8133303140096618,0.947455005561288,0.001,0.7042,1.311367652130127
11,0.823822463768116,0.9096243024448266,0.001,0.7407,1.1705397703170777
12,0.8282004830917874,0.8819229455961697,0.001,0.6682,1.5397286066055298
13,0.8361262077294686,0.854718586097017,0.001,0.8012,0.9630968420028686
14,0.8425674315619968,0.8259514502089189,0.001,0.8132,0.9181494338989258
15,0.8486815619967794,0.7991468880487524,0.001,0.7498,1.151902838897705
16,0.8546195652173914,0.7757805689521458,0.001,0.7186,1.2947123928070068
17,0.8608595008051529,0.7556476311791154,0.001,0.7643,1.1276509141921998
18,0.8626710950080515,0.7407196994372997,0.001,0.8183,0.9119184013366699
19,0.8679549114331723,0.7209680953847422,0.001,0.7712,1.0531532510757446
