epoch,acc,loss,lr,val_acc,val_loss
0,0.25775801952580196,2.854898689015972,0.001,0.14942528737189253,3.8484402408752656
1,0.3014170481744404,1.9873725323264366,0.001,0.2836990595766992,2.0618353451390337
2,0.3362110311766842,1.8244845590847159,0.001,0.2587948450069318,2.159634680915734
3,0.3653368214584265,1.7439663997423112,0.001,0.4090909090960993,1.7218689150363466
4,0.39127970350472163,1.6928446358420217,0.001,0.41745036574698874,1.6645221759200886
5,0.40828428167207376,1.6627955089500066,0.001,0.37756879139303623,1.7347706193003825
6,0.41935905821122765,1.6313174693756487,0.001,0.4651689307484549,1.5536751517930625
7,0.43039023325363746,1.6053880322699405,0.001,0.4684778823021271,1.567948331155249
8,0.4445607150708093,1.57371767752826,0.001,0.43765238594900896,1.6235502032360023
9,0.45764115979683434,1.548313669215523,0.001,0.43800069665252767,1.6530770084161204
10,0.46352735992633937,1.5228733217583676,0.001,0.49947753397067307,1.4457712479893317
11,0.46928275561888855,1.5043667318723757,0.001,0.42894461862055194,1.8086728879442948
12,0.47573577502154824,1.4961973247482336,0.001,0.44130964822177066,1.7068215104936515
13,0.4790930891598339,1.479798195007088,0.001,0.43469174504695307,1.9023079113111558
14,0.4894266405005795,1.4573011487923808,0.001,0.4113549286066884,1.6623861535174305
15,0.49252234574546216,1.4487940095207492,0.001,0.5059212817937312,1.3900156197170894
16,0.4986265532768238,1.4351033925594316,0.001,0.3913270637512373,1.7582435665210336
17,0.5036407237898064,1.422246647395676,0.001,0.5073145245662843,1.4298459533945853
18,0.5073468497876953,1.4093435772161274,0.001,0.4862417276417989,1.546382595628282
19,0.5120994113760886,1.3967362558657186,0.001,0.49407871824779065,1.4268725728872387
20,0.5124918247350349,1.3978853390423176,0.001,0.4012539184952978,1.9609479660026208
21,0.5209505123239159,1.381613235939347,0.001,0.48989898991975084,1.5519387396483917
22,0.52190974492613,1.3741336482216233,0.001,0.5390107976418678,1.3510143027327195
23,0.5271855243130241,1.3694384992681403,0.001,0.4867641936815063,1.547642204330508
24,0.529932417699603,1.36302311254634,0.001,0.5491118077947802,1.3387933186810426
25,0.5355134074688478,1.3487307013367578,0.001,0.4965168930997586,1.5170434221329485
26,0.5352954000487992,1.3403912490766137,0.001,0.4705677464609568,1.5836092819531427
27,0.5417920209339093,1.3384054269514132,0.001,0.3981191222881947,1.7795336923296965
28,0.5428384565140184,1.3250441850648094,0.001,0.5343086033364033,1.3249206284287498
29,0.5467189884404094,1.3198861537843534,0.001,0.5658307210135153,1.27859589149212
30,0.5498146936943881,1.3191489668487073,0.001,0.4181469871332653,1.8273796759512067
31,0.5524743841134673,1.3071856378807283,0.001,0.5593869731800766,1.2848426779983186
32,0.5572269457291485,1.3014505834758268,0.001,0.5261233019957514,1.4458898703257244
33,0.5595378242600372,1.2995324061227203,0.001,0.567398119143018,1.270519973840584
34,0.5612382821249811,1.2904656362866223,0.001,0.4521072797142475,1.735538987239783
35,0.564551994752229,1.2883436674018662,0.001,0.5665273424101723,1.2961775773246709
36,0.5669500762870012,1.2753954903970806,0.001,0.5574712643781966,1.3086688312990913
37,0.5605406583888821,1.2897508561338296,0.001,0.5733194009056078,1.270701989111108
38,0.5701765860273138,1.2703426515429739,0.001,0.5895158481469183,1.2281298862023455
39,0.566644865899453,1.2696825239116236,0.001,0.5602577499233028,1.2995231156978653
40,0.5687813385681101,1.268004282021902,0.001,0.40613026820442394,1.9631838498735046
41,0.5730542838508484,1.263229940601338,0.001,0.5308254963634986,1.3647244470288056
42,0.5728798778898606,1.2618527772563304,0.001,0.5343086033052619,1.4183977549601747
43,0.5730542838300576,1.2627036584548916,0.0003162278,0.5653082549841884,1.3046123556707097
44,0.5755395683193353,1.2538752119240222,0.001,0.4451410658618624,1.8408296907957071
45,0.58037933287133,1.2540346868994035,0.001,0.4975618251584125,1.483066339145675
46,0.5806409417868232,1.2449105497692468,0.001,0.5621734587355633,1.2935538953374546
47,0.5788532810063567,1.249081371151234,0.001,0.5799373040752351,1.2964098624176614
48,0.5804229344031586,1.2426956737641808,0.0003162278,0.4705677464401959,1.743141441966382
49,0.5824286025568943,1.235909208124542,0.001,0.5289097875356674,1.5002424403459342
50,0.5819053847674895,1.240656591579237,0.001,0.515673981222364,1.483940958810658
51,0.5871375626511425,1.2308263163590498,0.001,0.5456287008114951,1.4357070621818002
52,0.5827774144061022,1.2372022873024184,0.001,0.48867990250414733,1.5824811594364163
53,0.5835186396194538,1.2300118480083182,0.0003162278,0.5195053988261241,1.39842827305151
54,0.5873555700841854,1.2214733066292716,0.001,0.5363984674433306,1.4043778882380438
55,0.5877479834158436,1.22763047817098,0.001,0.5795889933820968,1.2669856718548995
56,0.5893176368126455,1.217540845232694,0.001,0.5670498084083578,1.2792563048525165
57,0.5932417702253852,1.2178885998069942,0.001,0.572622779581614,1.2997071259696904
58,0.5910180946386066,1.2184457651742902,0.0003162278,0.5893416928107296,1.248097051190649
59,0.591977327223928,1.2169035825694026,0.001,0.5884709160675035,1.2534831415191008
