epoch,acc,loss,lr,val_acc,val_loss
0,0.5338792067307693,1.312402722163078,0.001,0.4728,1.6586292205810547
1,0.6642260466988728,0.9490962915374461,0.001,0.5374,1.3728227741241454
2,0.7177938808373591,0.8032658034860608,0.001,0.6828,0.9143876888275146
3,0.7508303140096618,0.7162496502272748,0.001,0.6554,1.0620134069442748
4,0.7731733091787439,0.647956548873545,0.001,0.7067,0.913654245185852
5,0.792572463768116,0.592744581365355,0.001,0.7338,0.7734264621734619
6,0.8067381239935588,0.5522047367648802,0.001,0.7354,0.8042665224075317
7,0.8199979871175523,0.5156726295821332,0.001,0.6816,1.0094830808639526
8,0.8307669082125604,0.48360947566331874,0.001,0.7011,0.9650024862289429
9,0.8386674718196457,0.46057728772769996,0.001,0.7557,0.7463442831039429
10,0.8485809178743962,0.4360415926878003,0.001,0.8004,0.5957177359580994
11,0.8586704911433173,0.4078494162567188,0.001,0.7674,0.7210617806434632
12,0.8675774959742351,0.3836746904009206,0.001,0.7102,0.9329368061065674
13,0.8702194041867954,0.37247482138939336,0.001,0.812,0.5788256948471069
14,0.8768115942028986,0.3526186282700003,0.001,0.6988,1.1065611192703246
15,0.8840076489533011,0.33581123624638853,0.001,0.7411,0.8640663747787476
16,0.891430152979066,0.31432324024022296,0.001,0.808,0.6083195829391479
17,0.897091384863124,0.29603940435653725,0.001,0.8228,0.5585263370513917
18,0.9023248792270532,0.28212036986665834,0.001,0.8074,0.627804704284668
19,0.9091183574879227,0.2645315220774468,0.001,0.7867,0.6895385565757751
